malloc(0x50), image: fft
malloc(0x10), image: fft
malloc(0x45), image: fft
malloc(0x28), image: fft
malloc(0x140), image: fft
malloc(0x20000), image: fft
malloc(0x20000), image: fft
malloc(0x20000), image: fft
malloc(0x20000), image: fft
malloc(0x20), image: fft
malloc(0x20), image: fft
malloc(0x400), image: fft
