malloc(0x52), image: crc
malloc(0x10), image: crc
malloc(0x45), image: crc
malloc(0x28), image: crc
malloc(0x140), image: crc
malloc(0x228), image: crc
malloc(0x1000), image: crc
malloc(0x400), image: crc
malloc(0x228), image: crc
malloc(0x228), image: crc
malloc(0x400), image: crc
malloc(0x228), image: crc
malloc(0x1000), image: crc
